Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por Comunidades Autónomas
Total sectores. Gastos internos totales y personal en I+D por  comunidades autónomas y tipo de indicador.
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en I+D en EJC: Total personal;Personal en I+D en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en I+D en EJC: Mujeres;
Total;14.184.295;100,0;215.078,8;86.304,9;130.234,9;50.232,8;
Andalucía;1.648.471;11,6;25.433,8;10.287,9;14.609,3;5.600,6;
Aragón;322.113;2,3;6.534,2;2.556,4;4.461,8;1.745,6;
Asturias, Principado de;218.119;1,5;3.678,6;1.415,4;2.478,3;965,6;
Balears, Illes;95.818;0,7;2.007,3;900,8;1.442,0;641,7;
Canarias;242.968;1,7;3.896,0;1.477,4;2.700,9;994,7;
Cantabria;141.817;1,0;2.104,7;829,4;1.284,2;497,5;
Castilla y León;574.357;4,0;9.734,0;3.975,1;6.128,5;2.583,1;
Castilla - La Mancha;259.383;1,8;3.453,8;1.305,5;1.960,9;755,3;
Cataluña;3.103.712;21,9;44.455,5;18.735,0;25.474,1;10.041,7;
Comunitat Valenciana;1.044.364;7,4;19.964,6;8.527,4;12.246,9;4.903,4;
Extremadura;143.837;1,0;2.234,2;887,8;1.345,4;523,6;
Galicia;526.471;3,7;10.146,3;4.167,7;6.224,5;2.504,6;
Madrid, Comunidad de;3.762.811;26,5;51.108,8;20.262,3;30.441,6;11.374,6;
Murcia, Región de;234.082;1,7;5.669,8;2.251,7;4.065,5;1.563,3;
Navarra, Comunidad Foral de;383.854;2,7;5.220,5;1.949,7;3.282,7;1.230,9;
País Vasco;1.397.209;9,9;17.970,8;6.223,1;11.212,4;3.938,3;
Rioja, La;81.817;0,6;1.422,6;533,3;844,9;354,0;
Ceuta;1.252;0,0;16,4;5,3;11,6;4,3;
Melilla;1.840;0,0;26,5;13,9;19,3;9,9;
Notas:
1) EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
