Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por Comunidades Autónomas
Total sectores. Gastos internos totales y personal en I+D por  comunidades autónomas y tipo de indicador.
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en I+D en EJC: Total personal;Personal en I+D en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en I+D en EJC: Mujeres;
Total;12.820.756;100,0;200.232,6;79.931,8;122.235,4;47.136,3;
Andalucía;1.465.740;11,4;23.632,5;9.487,7;13.317,9;5.147,4;
Aragón;300.795;2,3;5.401,7;2.115,4;3.671,0;1.478,7;
Asturias, Principado de;171.612;1,3;3.114,9;1.210,5;2.032,2;778,1;
Balears, Illes;85.335;0,7;1.846,0;819,1;1.461,9;653,3;
Canarias;192.994;1,5;3.307,7;1.246,9;2.447,0;919,5;
Cantabria;101.828;0,8;1.780,7;733,7;1.035,5;419,2;
Castilla y León;526.820;4,1;8.854,7;3.602,2;5.721,0;2.361,9;
Castilla - La Mancha;193.038;1,5;2.808,1;988,9;1.530,7;550,6;
Cataluña;2.937.731;22,9;43.898,4;18.448,6;25.474,0;10.105,1;
Comunitat Valenciana;1.011.352;7,9;18.638,7;7.304,7;11.357,7;4.299,4;
Extremadura;116.010;0,9;1.906,6;711,7;1.236,0;474,2;
Galicia;477.279;3,7;9.405,1;3.831,2;5.472,5;2.182,6;
Madrid, Comunidad de;3.312.342;25,8;46.463,1;18.632,9;28.371,3;10.659,1;
Murcia, Región de;233.692;1,8;5.412,4;2.190,1;3.622,3;1.415,8;
Navarra, Comunidad Foral de;313.655;2,4;4.433,1;1.678,3;2.973,2;1.130,2;
País Vasco;1.306.278;10,2;17.842,7;6.327,9;11.622,8;4.167,4;
Rioja, La;71.369;0,6;1.438,8;585,2;851,5;379,8;
Ceuta;1.013;0,0;22,9;9,0;15,7;6,0;
Melilla;1.874;0,0;24,5;7,9;21,1;7,9;
Notas:
1) EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
